rel_time(sec),velocity(c/s)
0.0,0.0
0.05,0.0005027416016689
0.1,0.0036345342776129
0.15,0.0101983495964667
0.2,0.0282135085383355
0.25,0.0297698750033024
0.3,0.0279272409506672
0.35,0.0398919554609222
0.4,0.0554751562982787
0.45,0.1200906773420275
0.5,0.1363453403416532
0.55,0.1546032651658421
0.6,0.2218055033629321
0.65,0.2442089095757111
0.7,0.2879276752506133
0.75,0.2564864238245646
0.8,0.2307933313914105
0.85,0.2509372046088511
0.9,0.392661591787374
0.95,0.5735892984967178
1.0,0.309338453133381
1.05,0.3663522987770445
1.1,0.63066528778772
1.15,0.6035852508270934
1.2,0.9237052335796432
1.25,0.8473665611341928
1.3,0.6845161741884679
1.35,0.9085627294992904
1.4,0.9734443486749744
1.45,1.1966199413053689
1.5,1.087602733754571
1.55,1.0560637649255165
1.6,1.496229399857639
1.65,1.6431453490920669
1.7,1.815879651694437
1.75,1.5916825668026346
1.8,1.1160949793656494
1.85,1.6680893155735643
1.9,2.1583760081561616
1.95,1.708617465138058
2.0,1.6831983412200089
2.05,1.696502651463105
2.1,1.5453039535598898
2.15,2.9661872703465204
2.2,3.630789291724269
2.25,1.928568790657232
2.3,1.5624194573409764
2.35,2.786985261481373
2.4,3.246514718851305
2.45,3.280408729526206
2.5,3.59390386650533
2.55,3.2197695546239053
2.6,2.5762350712264777
2.65,4.224669487630353
2.7,5.479842337943319
2.75,4.33364236665602
2.8,3.3159256586102663
2.85,3.373730932751477
2.9,4.435423891577424
2.95,5.333046539308912
3.0,5.310022128293396
3.05,2.981164910981716
3.1,2.4963500793692046
3.15,5.721464128320639
3.2,5.496284765304538
3.25,4.547366665036933
3.3,7.042015434609382
3.35,6.150190140658884
3.4,4.20963188739853
3.45,7.130824621561043
3.5,6.80463844065828
3.55,5.281393157788235
3.6,6.167186238077574
3.65,6.162743462375296
3.7,7.990554647996741
3.75,7.329076334905259
3.8,5.585734305009701
3.85,5.537247119712214
3.9,6.688352222702231
3.95,8.27613747398724
4.0,6.823084374759705
4.05,6.591372717172349
4.1,6.564200654992556
4.15,5.163837716371983
4.2,6.454550957505266
4.25,10.869998444801809
4.3,8.160313891868704
4.35,3.3176608080521683
4.4,8.0680004517428
4.45,9.520936901942637
4.5,10.231060622728988
4.55,10.848365136320188
